tournament_year,team_id,team_name,team_code,count_matches,performance,top_scorer,top_scorer_goals
1994,T-09,Brazil,BRA,7,Champion,Romário,5
1994,T-10,Bulgaria,BGR,7,Semi-finals,Hristo Stoichkov,6
1994,T-11,Cameroon,CMR,3,Group stage,3 players tied,1
1994,T-16,Colombia,COL,3,Group stage,Adolfo Valencia,2
1994,T-31,Germany,DEU,5,Quarter-finals,Jürgen Klinsmann,5
1994,T-33,Greece,GRC,3,Group stage,No goals scored,0
1994,T-41,Italy,ITA,7,Runner-up,Roberto Baggio,5
1994,T-46,Mexico,MEX,4,Round of 16,Luis García,2
1994,T-47,Morocco,MAR,3,Group stage,2 players tied,1
1994,T-48,Netherlands,NLD,5,Quarter-finals,Dennis Bergkamp,3
1994,T-50,Nigeria,NGA,4,Round of 16,2 players tied,2
1994,T-53,Norway,NOR,3,Group stage,Kjetil Rekdal,1
1994,T-60,Republic of Ireland,IRL,4,Round of 16,2 players tied,1
1994,T-61,Romania,ROU,5,Quarter-finals,Florin Răducioiu,4
1994,T-62,Russia,RUS,3,Group stage,Oleg Salenko,6
1994,T-63,Saudi Arabia,SAU,4,Round of 16,Fuad Anwar,2
1994,T-71,South Korea,KOR,3,Group stage,Hong Myung-bo,2
1994,T-73,Spain,ESP,5,Quarter-finals,2 players tied,2
1994,T-74,Sweden,SWE,7,Third place,Kennet Andersson,5
1994,T-75,Switzerland,CHE,4,Round of 16,Adrian Knup,2
1994,T-83,United States,USA,4,Round of 16,2 players tied,1
1998,T-03,Argentina,ARG,5,Quarter-finals,Gabriel Batistuta,5
1998,T-05,Austria,AUT,3,Group stage,3 players tied,1
1998,T-06,Belgium,BEL,3,Group stage,Marc Wilmots,2
1998,T-09,Brazil,BRA,7,Runner-up,Ronaldo,4
1998,T-10,Bulgaria,BGR,3,Group stage,Emil Kostadinov,1
1998,T-11,Cameroon,CMR,3,Group stage,2 players tied,1
1998,T-13,Chile,CHL,4,Round of 16,Marcelo Salas,4
1998,T-16,Colombia,COL,3,Group stage,Léider Preciado,1
1998,T-18,Croatia,HRV,7,Third place,Davor Šuker,6
1998,T-22,Denmark,DNK,5,Quarter-finals,Brian Laudrup,2
1998,T-28,England,ENG,4,Round of 16,2 players tied,2
1998,T-30,France,FRA,7,Champion,Thierry Henry,3
1998,T-31,Germany,DEU,5,Quarter-finals,2 players tied,3
1998,T-38,Iran,IRN,3,Group stage,2 players tied,1
1998,T-41,Italy,ITA,5,Quarter-finals,Christian Vieri,5
1998,T-43,Jamaica,JAM,3,Group stage,Theodore Witmore,2
1998,T-44,Japan,JPN,3,Group stage,Masashi Nakayama,1
1998,T-46,Mexico,MEX,4,Round of 16,Luis Hernández,4
1998,T-47,Morocco,MAR,3,Group stage,2 players tied,2
1998,T-48,Netherlands,NLD,7,Semi-finals,Dennis Bergkamp,3
1998,T-50,Nigeria,NGA,4,Round of 16,5 players tied,1
1998,T-53,Norway,NOR,4,Round of 16,4 players tied,1
1998,T-55,Paraguay,PRY,4,Round of 16,3 players tied,1
1998,T-61,Romania,ROU,4,Round of 16,Viorel Moldovan,2
1998,T-63,Saudi Arabia,SAU,3,Group stage,2 players tied,1
1998,T-64,Scotland,SCO,3,Group stage,2 players tied,1
1998,T-70,South Africa,ZAF,3,Group stage,Shaun Bartlett,2
1998,T-71,South Korea,KOR,3,Group stage,2 players tied,1
1998,T-73,Spain,ESP,3,Group stage,2 players tied,2
1998,T-79,Tunisia,TUN,3,Group stage,Skander Souayah,1
1998,T-83,United States,USA,3,Group stage,Brian McBride,1
1998,T-87,Yugoslavia,YUG,4,Round of 16,2 players tied,2
2002,T-03,Argentina,ARG,3,Group stage,2 players tied,1
2002,T-06,Belgium,BEL,4,Round of 16,Marc Wilmots,3
2002,T-09,Brazil,BRA,7,Champion,Ronaldo,8
2002,T-11,Cameroon,CMR,3,Group stage,2 players tied,1
2002,T-14,China,CHN,3,Group stage,No goals scored,0
2002,T-17,Costa Rica,CRI,3,Group stage,Rónald Gómez,2
2002,T-18,Croatia,HRV,3,Group stage,2 players tied,1
2002,T-22,Denmark,DNK,4,Round of 16,Jon Dahl Tomasson,4
2002,T-25,Ecuador,ECU,3,Group stage,2 players tied,1
2002,T-28,England,ENG,5,Quarter-finals,Michael Owen,2
2002,T-30,France,FRA,3,Group stage,No goals scored,0
2002,T-31,Germany,DEU,7,Runner-up,Miroslav Klose,5
2002,T-41,Italy,ITA,4,Round of 16,Christian Vieri,4
2002,T-44,Japan,JPN,4,Round of 16,Junichi Inamoto,2
2002,T-46,Mexico,MEX,4,Round of 16,Jared Borgetti,2
2002,T-50,Nigeria,NGA,3,Group stage,Julius Aghahowa,1
2002,T-55,Paraguay,PRY,4,Round of 16,Nelson Cuevas,2
2002,T-57,Poland,POL,3,Group stage,3 players tied,1
2002,T-58,Portugal,PRT,3,Group stage,Pauleta,3
2002,T-60,Republic of Ireland,IRL,4,Round of 16,Robbie Keane,3
