tournament_year,team_id,team_name,team_code,count_matches,performance
1990,T-48,Netherlands,NLD,4,round of 16
1990,T-60,Republic of Ireland,IRL,5,quarter-finals
1990,T-61,Romania,ROU,4,round of 16
1990,T-64,Scotland,SCO,3,group stage
1990,T-71,South Korea,KOR,3,group stage
1990,T-72,Soviet Union,SUN,3,group stage
1990,T-73,Spain,ESP,4,round of 16
1990,T-74,Sweden,SWE,3,group stage
1990,T-82,United Arab Emirates,ARE,3,group stage
1990,T-83,United States,USA,3,group stage
1990,T-84,Uruguay,URY,4,round of 16
1990,T-86,West Germany,DEU,7,final
1990,T-87,Yugoslavia,YUG,5,quarter-finals
1994,T-03,Argentina,ARG,4,round of 16
1994,T-06,Belgium,BEL,4,round of 16
1994,T-07,Bolivia,BOL,3,group stage
1994,T-09,Brazil,BRA,7,final
1994,T-10,Bulgaria,BGR,7,third-place match
1994,T-11,Cameroon,CMR,3,group stage
1994,T-16,Colombia,COL,3,group stage
1994,T-31,Germany,DEU,5,quarter-finals
1994,T-33,Greece,GRC,3,group stage
1994,T-41,Italy,ITA,7,final
1994,T-46,Mexico,MEX,4,round of 16
1994,T-47,Morocco,MAR,3,group stage
1994,T-48,Netherlands,NLD,5,quarter-finals
1994,T-50,Nigeria,NGA,4,round of 16
1994,T-53,Norway,NOR,3,group stage
1994,T-60,Republic of Ireland,IRL,4,round of 16
1994,T-61,Romania,ROU,5,quarter-finals
1994,T-62,Russia,RUS,3,group stage
1994,T-63,Saudi Arabia,SAU,4,round of 16
1994,T-71,South Korea,KOR,3,group stage
1994,T-73,Spain,ESP,5,quarter-finals
1994,T-74,Sweden,SWE,7,third-place match
1994,T-75,Switzerland,CHE,4,round of 16
1994,T-83,United States,USA,4,round of 16
1998,T-03,Argentina,ARG,5,quarter-finals
1998,T-05,Austria,AUT,3,group stage
1998,T-06,Belgium,BEL,3,group stage
1998,T-09,Brazil,BRA,7,final
1998,T-10,Bulgaria,BGR,3,group stage
